ability_id,ability_short_effect_markup,ability_short_effect_html
1,"This Pokémon's damaging moves have a 10% chance to make the target {flinch;STATUS;flinch} with each hit if they do not already cause flinching as a secondary effect.<br/>
This ability does not stack with a held item.<br/>
Overworld: The wild encounter rate is halved while this Pokémon is first in the party.","This Pokémon's damaging moves have a 10% chance to make the target <a href=""/status_conditions/"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>flinch</span><img src=""https://cdn.pokedb.org/0bf204778d94c12da1796a7b742f74dff77a5a7ad6d8a83ed6c19b1260d354fc"" width=""20"" height=""20"" alt=""Status Condition Icon for Flinch"" style=""width: 20px; height: 20px""></a> with each hit if they do not already cause flinching as a secondary effect.<br>
This ability does not stack with a held item.<br>
Overworld: The wild encounter rate is halved while this Pokémon is first in the party."
2,"The {weather;WEATHER;WEATHER} changes to {rain;WEATHER;RAIN} when this Pokémon enters battle and does not end unless replaced by another weather condition.<br/>
If multiple Pokémon with this ability, {Drought;ABILITY;drought}, {Sand Stream;ABILITY;sand-stream}, or {Snow Warning;ABILITY;snow-warning} are sent out at the same time, the abilities will activate in order of {Speed;STAT;SPEED}, respecting {Trick Room;MOVE;trick-room}.<br/>
Each ability's weather will cancel the previous {weather;WEATHER;WEATHER}, and only the weather summoned by the slowest of the Pokémon will stay.","The <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">weather</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/weather_weather.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> changes to <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">rain</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_rain_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when this Pokémon enters battle and does not end unless replaced by another weather condition.<br>
If multiple Pokémon with this ability, <a href=""/abilities/drought"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Drought</span></a>, <a href=""/abilities/sand-stream"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Sand Stream</span></a>, or <a href=""/abilities/snow-warning"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Snow Warning</span></a> are sent out at the same time, the abilities will activate in order of <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, respecting <a href=""/moves/trick-room"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Trick Room</span></a>.<br>
Each ability's weather will cancel the previous <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">weather</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/weather_weather.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, and only the weather summoned by the slowest of the Pokémon will stay."
3,This Pokémon's {Speed;STAT;SPEED} rises one stage after each turn.,"This Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> rises one stage after each turn."
4,"Moves cannot score {critical hits;STAT;CRIT} against this Pokémon.<br/>
This ability functions identically to {Shell Armor;ABILITY;shell-armor}.","Moves cannot score <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">critical hits</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/stat_crit.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> against this Pokémon.<br>
This ability functions identically to <a href=""/abilities/shell-armor"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Shell Armor</span></a>."
5,"When this Pokémon is at full {HP;STAT;HP}, any hit that would knock it out will instead leave it with 1 HP.<br/>
Regardless of its current HP, it is also immune to the one-hit KO moves:
<ul>
<li>{Fissure;MOVE;fissure}</il>
<li>{Guillotine;MOVE;guillotine}</il>
<li>{Horn Drill;MOVE;horn-drill}</il>
<li>{Sheer Cold;MOVE;sheer-cold}</il>
</ul>
If this Pokémon is holding a {Focus Sash;ITEM;focus-sash}, this ability takes precedence and the item will not be consumed.","When this Pokémon is at full <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, any hit that would knock it out will instead leave it with 1 HP.<br>
Regardless of its current HP, it is also immune to the one-hit KO moves:
<ul>
<li><a href=""/moves/fissure"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fissure</span></a>
</li><li><a href=""/moves/guillotine"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Guillotine</span></a>
</li><li><a href=""/moves/horn-drill"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Horn Drill</span></a>
</li><li><a href=""/moves/sheer-cold"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Sheer Cold</span></a>
</li></ul>
If this Pokémon is holding a <a href=""/items/focus-sash"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Focus Sash</span><img src=""https://cdn.pokedb.org/8121cdf66656f60526565f6b2a6aef72a555ee91eb91ade53cdd5cd743a8dd4ew20h20"" width=""20"" height=""20"" alt=""Item Icon for Focus Sash"" style=""width: 20px; height: 20px""></a>, this ability takes precedence and the item will not be consumed."
6,"While this Pokémon is in battle, {Self Destruct;MOVE;self-destruct} and {Explosion;MOVE;explosion} will fail and {Aftermath;ABILITY;aftermath} will not take effect.","While this Pokémon is in battle, <a href=""/moves/self-destruct"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Self Destruct</span></a> and <a href=""/moves/explosion"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Explosion</span></a> will fail and <a href=""/abilities/aftermath"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Aftermath</span></a> will not take effect."
7,"This Pokémon cannot be {paralyzed;STATUS;paralysis}<br/>
If a Pokémon is paralyzed and acquires this ability, its paralysis is healed. This includes when regaining a lost ability upon leaving battle.","This Pokémon cannot be <a href=""/status_conditions/paralysis"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>paralyzed</span><img src=""https://cdn.pokedb.org/44310aa40d5082b31e561efe8ec0fd1f705032b30daf08111717ee1e1beba31a"" width=""20"" height=""20"" alt=""Status Condition Icon for Paralysis"" style=""width: 20px; height: 20px""></a><br>
If a Pokémon is paralyzed and acquires this ability, its paralysis is healed. This includes when regaining a lost ability upon leaving battle."
8,"During a {sandstorm;WEATHER;SANDSTORM}, this Pokémon has 1.25x its {evasion;STAT;EVASION}, and it does not take sandstorm damage regardless of type.<br/>
The evasion bonus does not count as a {stat;STAT;STATS} modifier.<br/>
Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a {sandstorm;WEATHER;SANDSTORM}.","During a <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">sandstorm</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_sandstorm_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, this Pokémon has 1.25x its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">evasion</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_evasion_up.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, and it does not take sandstorm damage regardless of type.<br>
The evasion bonus does not count as a <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> modifier.<br>
Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">sandstorm</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_sandstorm_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
9,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being  {paralyzed;STATUS;paralysis}.<br/>
Pokémon that are immune to {ELECTRIC;TYPE;Electric}-type moves can still be paralyzed by this ability.<br/>
Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an {ELECTRIC;TYPE;Electric} Pokémon, if applicable.","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being  <a href=""/status_conditions/paralysis"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>paralyzed</span><img src=""https://cdn.pokedb.org/44310aa40d5082b31e561efe8ec0fd1f705032b30daf08111717ee1e1beba31a"" width=""20"" height=""20"" alt=""Status Condition Icon for Paralysis"" style=""width: 20px; height: 20px""></a>.<br>
Pokémon that are immune to <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span>-type moves can still be paralyzed by this ability.<br>
Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span> Pokémon, if applicable."
10,"Whenever an {ELECTRIC;TYPE;Electric}-type move hits this Pokémon, it heals for <span style=""font-size: 1.3rem"">¼</span> of its maximum {HP;STAT;HP}, negating any other effect on it.<br/>
This ability will not take effect if this Pokémon is {GROUND;TYPE;Ground}-type and thus immune to {ELECTRIC;TYPE;Electric} moves.<br/>
{ELECTRIC;TYPE;Electric}-type moves will ignore this Pokémon's {Substitute;MOVE;substitute}.<br/>
This effect includes non-damaging moves, i.e. {Thunder Wave;MOVE;thunder-wave}.","Whenever an <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span>-type move hits this Pokémon, it heals for <span style=""font-size: 1.3rem"">¼</span> of its maximum <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, negating any other effect on it.<br>
This ability will not take effect if this Pokémon is <span style=""background-color: #89532A; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Ground"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/482346bac5a73b0b3bbcb12b277cc9f16954df1127911bbe69ca10f9825f8096"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Ground""><span style=""color: rgb(255, 255, 255);"">Ground</span></a></span>-type and thus immune to <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span> moves.<br>
<span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span>-type moves will ignore this Pokémon's <a href=""/moves/substitute"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Substitute</span></a>.<br>
This effect includes non-damaging moves, i.e. <a href=""/moves/thunder-wave"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Thunder Wave</span></a>."
