item_identifier,spin_off_game,effect_description,acquisition_method,notes
abomasite,Pokémon Shuffle,Allows Abomasnow to Mega Evolve.,Defeat Mega Abomasnow in Stage 620 or competitive stages.,
absolite,Pokémon Shuffle,Allows Absol to Mega Evolve.,Mission Card 10 or competitive stage reward,
acro-bike,Pokémon Trading Card Game,"Look at the top two cards of your deck, put one into your hand, and discard the other.",Primal Clash expansion,
aerodactylite,Pokémon Shuffle,Allows Aerodactyl to Mega Evolve.,Defeat Mega Aerodactyl in Stage 180 (Wacky Workshop).,
aggronite,Pokémon Shuffle,Allows Aggron to Mega Evolve.,Defeat Mega Aggron in Stage 550 (Nacht Carnival).,
alakazite,Pokémon Shuffle,Allows Alakazam to Mega Evolve when the mega gauge is full.,Competitive stage reward,
altarianite,Pokémon Shuffle,Allows Altaria to Mega Evolve into Mega Altaria.,Defeat Mega Altaria in Stage 75 on Galerie Rouge.,
ampharosite,Pokémon Shuffle,Allows Ampharos to Mega Evolve into Mega Ampharos.,Defeat Mega Ampharos in Stage 105 (Silbern Museum),
amulet-coin,Pokémon: Magikarp Jump,Summons Meowth as a helper Pokémon.,Prize for beating the Great League; Friendship Item,
antidote,Pokémon Conquest,Cures poisoning.,Purchased from shops,
aspear-berry,Pokémon: Magikarp Jump,Appears as food that can be consumed by Magikarp.,,
assault-vest,Pokémon UNITE,Grants a shield against special attack damage after leaving combat and increases HP and Special Defense.,,
audinite,Pokémon Shuffle,Allows Audino and Winking Audino to Mega Evolve into Mega Audino.,Defeat Mega Audino in Stage 10 (Puerto Blanco).,
awakening,Pokémon Conquest,Cures sleep.,Shop purchase (100–70 gold),
balm-mushroom,Pokémon Quest,An ingredient used in cooking to attract wild Pokémon.,Expeditions and recycling Power Stones; Categorized as a Mushroom.,
banettite,Pokémon Shuffle,Allows Banette to Mega Evolve.,Competitive stage rewards,
beach-glass,Pokémon GO,A Buddy Souvenir with no functional purpose.,Collected by Buddy Pokémon at Ultra Buddy level,
beast-ball,Pokémon GO,Event-exclusive Poké Ball with a ×20 catch rate during Ultra Beast encounters.,Event; Cannot be kept after encounters,
beedrillite,Pokémon Shuffle,Allows Beedrill to Mega Evolve into Mega Beedrill.,Competitive stage reward; Available during multiple Mega Beedrill competitive events.,
belue-berry,Pokémon Sleep,Raises Snorlax's Strength; effect is doubled if it is Snorlax's favorite Berry.,Gathered by helper Pokémon; Does not enter inventory; immediately consumed by Snorlax.,
berserk-gene,Detective Pikachu,"Referenced as part of the drug R, which temporarily increases Pokémon power but causes berserk behavior.",Derived from Mewtwo’s cells in the film’s story.,
big-malasada,Pokémon Sleep,"Possible cooking recipe made with Pure Oil, Moomoo Milk, and Honey.",Cooking,
big-malasada,Pokémon: Magikarp Jump,Food that can be consumed by Magikarp.,Unlocked at Trainer Rank 81; costs 931392 coins,
big-pearl,Pokémon Masters EX,"Can be exchanged for 3,000 coins.",shop exchange,
big-root,Pokémon Quest,An ingredient used in cooking to attract wild Pokémon.,Expeditions or recycling Power Stones,
bitter-herba-mystica,Pokémon Adventures,Used to make sandwiches that help restore Mabosstiff and power up Miraidon.,Appears in the Scarlet & Violet arc.,
bitter-herba-mystica,Pokémon Horizons: The Series,,Appears as part of the Herba Mystica in the anime.,
