ability_id,version_identifier,flavor_text
1,black-2-white-2,The stench may cause the target to flinch.
1,black-white,The stench may cause the target to flinch.
1,diamond-pearl,The stench helps keep wild Pokémon away.
1,emerald,Helps repel wild POKéMON.
1,firered-leafgreen,Helps repel wild POKéMON.
1,heartgold-soulsilver,The stench helps keep wild Pokémon away.
1,lets-go-pikachu-lets-go-eevee,"By releasing stench when attacking, this Pokémon may cause the target to flinch."
1,omega-ruby-alpha-sapphire,The stench may cause the target to flinch.
1,platinum,The stench helps keep wild Pokémon away.
1,ruby-sapphire,Helps repel wild POKéMON.
1,scarlet-violet,"By releasing a stench when attacking, the Pokémon may cause the target to flinch."
1,sun-moon,"By releasing stench when attacking, this Pokémon may cause the target to flinch."
1,sword-shield,"By releasing stench when attacking, this Pokémon may cause the target to flinch."
1,ultra-sun-ultra-moon,"By releasing stench when attacking, this Pokémon may cause the target to flinch."
1,x-y,The stench may cause the target to flinch.
2,black-2-white-2,The Pokémon makes it rain if it appears in battle.
2,black-white,The Pokémon makes it rain if it appears in battle.
2,diamond-pearl,The Pokémon makes it rain if it appears in battle.
2,emerald,Summons rain in battle.
2,firered-leafgreen,Summons rain in battle.
2,heartgold-soulsilver,The Pokémon makes it rain if it appears in battle.
2,lets-go-pikachu-lets-go-eevee,The Pokémon makes it rain when it enters a battle.
2,omega-ruby-alpha-sapphire,The Pokémon makes it rain when it enters a battle.
2,platinum,The Pokémon makes it rain if it appears in battle.
2,ruby-sapphire,Summons rain in battle.
2,scarlet-violet,The Pokémon makes it rain when it enters a battle.
2,sun-moon,The Pokémon makes it rain when it enters a battle.
2,sword-shield,The Pokémon makes it rain when it enters a battle.
2,ultra-sun-ultra-moon,The Pokémon makes it rain when it enters a battle.
2,x-y,The Pokémon makes it rain when it enters a battle.
3,black-2-white-2,Its Speed stat is gradually boosted.
3,black-white,Its Speed stat is gradually boosted.
3,diamond-pearl,The Pokémon’s Speed stat is gradually boosted.
3,emerald,Gradually boosts SPEED.
3,firered-leafgreen,Gradually boosts SPEED.
3,heartgold-soulsilver,Its Speed stat is gradually boosted.
3,lets-go-pikachu-lets-go-eevee,Its Speed stat is boosted every turn.
3,omega-ruby-alpha-sapphire,Its Speed stat is gradually boosted.
3,platinum,The Pokémon’s Speed stat is gradually boosted.
3,ruby-sapphire,Gradually boosts SPEED.
3,scarlet-violet,The Pokémon's Speed stat is boosted every turn.
3,sun-moon,Its Speed stat is boosted every turn.
3,sword-shield,Its Speed stat is boosted every turn.
3,ultra-sun-ultra-moon,Its Speed stat is boosted every turn.
3,x-y,Its Speed stat is gradually boosted.
4,black-2-white-2,The Pokémon is protected against critical hits.
4,black-white,The Pokémon is protected against critical hits.
4,diamond-pearl,The Pokémon is protected against critical hits.
4,emerald,Blocks critical hits.
4,firered-leafgreen,Blocks critical hits.
4,heartgold-soulsilver,The Pokémon is protected against critical hits.
4,lets-go-pikachu-lets-go-eevee,Hard armor protects the Pokémon from critical hits.
4,omega-ruby-alpha-sapphire,Protects the Pokémon from critical hits.
4,platinum,The Pokémon is protected against critical hits.
4,ruby-sapphire,Blocks critical hits.
4,scarlet-violet,Hard armor protects the Pokémon from critical hits.
4,sun-moon,Hard armor protects the Pokémon from critical hits.
4,sword-shield,Hard armor protects the Pokémon from critical hits.
4,ultra-sun-ultra-moon,Hard armor protects the Pokémon from critical hits.
4,x-y,Protects the Pokémon from critical hits.
5,black-2-white-2,It cannot be knocked out with one hit.
5,black-white,It cannot be knocked out with one hit.
5,diamond-pearl,The Pokémon is protected against 1-hit KO attacks.
5,emerald,Negates 1-hit KO attacks.
5,firered-leafgreen,Negates 1-hit KO attacks.
5,heartgold-soulsilver,It is protected against 1-hit KO attacks.
5,lets-go-pikachu-lets-go-eevee,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either."
5,omega-ruby-alpha-sapphire,It cannot be knocked out with one hit.
5,platinum,The Pokémon is protected against 1-hit KO attacks.
5,ruby-sapphire,Negates 1-hit KO attacks.
5,scarlet-violet,The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.
5,sun-moon,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either."
5,sword-shield,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either."
5,ultra-sun-ultra-moon,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either."
