item_identifier,version_identifier,localized_name
ability-capsule,brilliant-diamond-shining-pearl,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
ability-capsule,omega-ruby-alpha-sapphire,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
ability-capsule,scarlet-violet,A capsule that allows a Pokémon to switch its current Ability to the other Ability its species can have.
ability-capsule,sun-moon,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
ability-capsule,sword-shield,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
ability-capsule,ultra-sun-ultra-moon,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
ability-capsule,x-y,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
ability-patch,scarlet-violet,A patch that can be used to change the regular Ability of a Pokémon to a rarer Ability.
ability-patch,sword-shield,A patch that allows a Pokémon with a regular Ability to have a rare Ability.
ability-shield,scarlet-violet,An item to be held by a Pokémon. This cute and rather unique-looking shield protects the holder from having its Ability changed by others.
ability-urge,black-2-white-2,"When used, it activates the Ability of an ally Pokémon."
ability-urge,black-white,"When used, it activates the Ability of an ally Pokémon."
abomasite,legends-za,One of a variety of mysterious Mega Stones. An Abomasnow holding this stone will be able to Mega Evolve during battle.
abomasite,omega-ruby-alpha-sapphire,"One of a variety of mysterious Mega Stones. Have Abomasnow hold it, and this stone will enable it to Mega Evolve during battle."
abomasite,x-y,"One variety of the mysterious Mega Stones. Have Abomasnow hold it, and this stone will enable it to Mega Evolve during battle."
absolite,legends-za,One of a variety of mysterious Mega Stones. An Absol holding this stone will be able to Mega Evolve during battle.
absolite,omega-ruby-alpha-sapphire,"One of a variety of mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle."
absolite,sun-moon,"One of a variety of mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle."
absolite,ultra-sun-ultra-moon,"One of a variety of mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle."
absolite,x-y,"One variety of the mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle."
absolite-z,legends-za,One of a variety of mysterious Mega Stones. An Absol holding this stone will be able to Mega Evolve during battle.
absorb-bulb,black-2-white-2,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise."
absorb-bulb,black-white,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise."
absorb-bulb,brilliant-diamond-shining-pearl,An item to be held by a Pokémon. It boosts Sp. Atk if the holder is hit with a Water-type attack. It can only be used once.
absorb-bulb,legends-arceus,An item to be held by a Pokémon. It boosts Sp. Atk if the holder is hit with a Water-type attack. It can only be used once.
absorb-bulb,lets-go-pikachu-lets-go-eevee,An item to be held by a Pokémon. It boosts Sp. Atk if hit with a Water-type attack. It can only be used once.
absorb-bulb,omega-ruby-alpha-sapphire,An item to be held by a Pokémon. It boosts Sp. Atk if hit with a Water-type attack. It can only be used once.
absorb-bulb,scarlet-violet,An item to be held by a Pokémon. This single-use bulb boosts the Sp. Atk stat if the holder is damaged by a Water-type attack.
absorb-bulb,sun-moon,An item to be held by a Pokémon. It boosts Sp. Atk if hit with a Water-type attack. It can only be used once.
absorb-bulb,sword-shield,An item to be held by a Pokémon. It boosts Sp. Atk if the holder is hit with a Water-type attack. It can only be used once.
absorb-bulb,ultra-sun-ultra-moon,An item to be held by a Pokémon. It boosts Sp. Atk if hit with a Water-type attack. It can only be used once.
absorb-bulb,x-y,An item to be held by a Pokémon. It boosts Sp. Atk if hit with a Water-type attack. It can only be used once.
academy-ball,scarlet-violet,"The academy's standard-issue ball in a regulation size. Lots of students believe that if you kick it right on the academy emblem, it'll fly in a straight line."
academy-bottle,scarlet-violet,"A bottle emblazoned with the academy's emblem. It's light, sturdy, and vacuum insulated, so it'll keep your hots hot and your colds cold."
academy-chairs,scarlet-violet,A set of chairs that are ideal for picnicking. Their design was inspired by the Academy Tablecloth.
academy-cup,scarlet-violet,The academy's standard-issue cup for picnicking. The careful design of its mouth makes it popular both inside and outside the academy.
