pokemon_form_identifier,version_identifier,flavor_text
abomasnow-default,alpha-sapphire,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.
abomasnow-default,black,"They appear when the snow flowers bloom. When the petals fall, they retreat to places unknown again."
abomasnow-default,black-2,"They appear when the snow flowers bloom. When the petals fall, they retreat to places unknown again."
abomasnow-default,brilliant-diamond,It whips up blizzards in mountains that are always buried in snow. It is the abominable snowman.
abomasnow-default,diamond,It whips up blizzards in mountains that are always buried in snow. It is the abominable snowman.
abomasnow-default,heartgold,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.
abomasnow-default,legends-arceus,"A powerful Pokémon that can split huge boulders with ease. Dislikes associating with others and chooses to live quietly deep within the mountains, playing with the snow."
abomasnow-default,legends-za,It blankets wide areas in snow by whipping up blizzards. It is also known as the Ice Monster.
abomasnow-default,omega-ruby,"It blankets wide areas in snow by whipping up blizzards. It is also known as ""The Ice Monster."""
abomasnow-default,pearl,"It blankets wide areas in snow by whipping up blizzards. It is also known as ""The Ice Monster."""
abomasnow-default,platinum,"They appear when the snow flowers bloom. When the petals fall, they retreat to places unknown again."
abomasnow-default,scarlet,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.
abomasnow-default,shield,This Pokémon is known to bring blizzards. A shake of its massive body is enough to cause whiteout conditions.
abomasnow-default,shining-pearl,It blankets wide areas in snow by whipping up blizzards. It is also known as the Ice Monster.
abomasnow-default,soulsilver,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.
abomasnow-default,sword,"If it sees any packs of Darumaka going after Snover, it chases them off, swinging its sizable arms like hammers."
abomasnow-default,violet,"They appear when the snow flowers bloom. When the petals fall, they retreat to places unknown again."
abomasnow-default,white,"They appear when the snow flowers bloom. When the petals fall, they retreat to places unknown again."
abomasnow-default,white-2,"They appear when the snow flowers bloom. When the petals fall, they retreat to places unknown again."
abomasnow-default,x,"It blankets wide areas in snow by whipping up blizzards. It is also known as ""The Ice Monster."""
abomasnow-default,y,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.
abomasnow-mega-evolution,legends-za,The buds on its back have sprouted into impressive icicles that can whip up massive blizzards of −22 degrees Fahrenheit.
abra-default,alpha-sapphire,"Abra needs to sleep for eighteen hours a day. If it doesn't, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping."
abra-default,black,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.
abra-default,black-2,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.
abra-default,blue,"Using its ability to read minds, it will identify impending danger and Teleport to safety."
abra-default,brilliant-diamond,"It sleeps for 18 hours a day. Even when awake, it teleports itself while remaining seated."
abra-default,crystal,"It hypnotizes itself so that it can teleport away when it senses danger, even if it is asleep."
abra-default,diamond,"It sleeps for 18 hours a day. Even when awake, it teleports itself while remaining seated."
abra-default,emerald,A Pokémon that sleeps 18 hours a day. Observation revealed that it uses Teleport to change its location once every hour.
abra-default,firered,It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.
abra-default,gold,It senses impending attacks and Teleports away to safety before the actual attacks can strike.
abra-default,heartgold,It senses impending attacks and teleports away to safety before the actual attacks can strike.
abra-default,leafgreen,"Using its ability to read minds, it will sense impending danger and Teleport to safety."
abra-default,legends-arceus,"Spends 18 hours of the day sleeping. Even while asleep, Abra can control its psychic powers—should danger approach, the Pokémon will simply teleport away."
abra-default,legends-za,It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.
abra-default,lets-go-eevee,"Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps."
abra-default,lets-go-pikachu,"Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps."
abra-default,moon,"It can teleport itself to safety while it's asleep, but when it wakes, it doesn't know where it is, so it panics."
abra-default,omega-ruby,"Abra sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this Pokémon immediately teleports to safety."
abra-default,pearl,"Even while asleep, it maintains a telepathic radar. It teleports when it is threatened."
abra-default,platinum,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.
abra-default,red,"Using its ability to read minds, it will identify impending danger and Teleport to safety."
abra-default,ruby,"Abra sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this Pokémon immediately teleports to safety."
abra-default,sapphire,"Abra needs to sleep for eighteen hours a day. If it doesn't, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping."
abra-default,shield,"Abra can teleport in its sleep. Apparently the more deeply Abra sleeps, the farther its teleportations go."
abra-default,shining-pearl,"Even while asleep, it maintains a telepathic radar. It teleports when it is threatened."
abra-default,silver,"If it decides to Teleport randomly, it creates the illusion that it has created copies of itself."
abra-default,soulsilver,"If it decides to teleport randomly, it evokes the illusion that it has created copies of itself."
abra-default,stadium,"Even while asleep, it can sense enemies approaching. It Teleports itself to a distant spot if there is any danger."
abra-default,stadium-2,"If it decides to Teleport randomly, it creates the illusion that it has created copies of itself."
abra-default,stadium-2,It senses impending attacks and Teleports away to safety before the actual attacks can strike.
abra-default,sun,"It sleeps 18 hours a day. Even while sleeping, it will teleport itself to treetops and pick and eat berries there."
abra-default,sword,This Pokémon uses its psychic powers while it sleeps. The contents of Abra's dreams affect the powers that the Pokémon wields.
abra-default,ultra-moon,It can read others' minds and will teleport away when danger approaches. You must clear your mind if you want to catch it.
abra-default,ultra-sun,"It uses various psychic powers even while it's sleeping, so you can't tell whether or not it's awake."
abra-default,white,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.
abra-default,white-2,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.
abra-default,x,It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.
abra-default,y,It senses impending attacks and teleports away to safety before the actual attacks can strike.
abra-default,yellow,"Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps."
absol-default,alpha-sapphire,"Absol has the ability to foretell the coming of natural disasters. It lives in a harsh, rugged mountain environment. This Pokémon very rarely ventures down from the mountains."
absol-default,black,"Rumored to sense disasters with its horn, it became a target. It fled deep into the mountains."
absol-default,black-2,It appears from deep in the mountains to warn people about upcoming disasters it has sensed with its horn.
absol-default,brilliant-diamond,It senses coming disasters and appears before people only to warn them of impending danger.
absol-default,diamond,It senses coming disasters and appears before people only to warn them of impending danger.
absol-default,emerald,It sharply senses even subtle changes in the sky and the land to predict natural disasters. It is a long-lived Pokémon that has a life-span of 100 years.
absol-default,firered,"It appears when it senses an impending natural disaster. As a result, it was mistaken as a doom-bringer."
absol-default,heartgold,It has the ability to foretell natural disasters. Its life span is over a hundred years.
absol-default,leafgreen,"It appears when it senses an impending natural disaster. As a result, it was mistaken as a doom-bringer."
absol-default,legends-za,It senses coming disasters and appears before people only to warn them of impending danger.
absol-default,moon,"Although it's said to bring disaster, in actuality, this Pokémon possesses a calm disposition and warns people of any crises that loom."
absol-default,omega-ruby,"Every time Absol appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster Pokémon."
absol-default,pearl,It senses coming disasters and appears before people only to warn them of impending danger.
absol-default,platinum,"Rumored to sense disasters with its horn, it became a target. It fled deep into the mountains."
absol-default,ruby,"Every time Absol appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster Pokémon."
absol-default,sapphire,"Absol has the ability to foretell the coming of natural disasters. It lives in a harsh, rugged mountain environment. This Pokémon very rarely ventures down from the mountains."
absol-default,shield,"Because of this Pokémon's ability to detect danger, people mistook Absol as a bringer of doom."
absol-default,shining-pearl,It senses coming disasters and appears before people only to warn them of impending danger.
absol-default,soulsilver,It has the ability to foretell natural disasters. Its life span is over a hundred years.
absol-default,sun,"Long ago, superstitions were spread about it, saying it brought disaster. This fed a hatred of it, and it was driven deep into the mountains."
absol-default,sword,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters."
absol-default,ultra-moon,"The elderly call it the disaster Pokémon and detest it, but interest in its power to predict disasters is on the rise."
absol-default,ultra-sun,"The only thing unlucky about Absol is its appearance. It protects fields and warns people of disaster, so one ought to be grateful for it."
absol-default,white,"Rumored to sense disasters with its horn, it became a target. It fled deep into the mountains."
absol-default,white-2,It appears from deep in the mountains to warn people about upcoming disasters it has sensed with its horn.
absol-default,x,It senses coming disasters and appears before people only to warn them of impending danger.
absol-default,y,"It appears when it senses an impending natural disaster. As a result, it was mistaken as a doom bringer."
absol-mega-evolution,legends-za,"When this Pokémon whips the winglike fur on its back as though beating its wings, it sends an intimidating aura flying at its opponents."
